Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Atalanta BC,Andrea Ferrari,19,Italy,Goalkeeper,GK,-,Atalanta Primavera,Italy,-,In,2005,s,serie-b,https://www.transfermarkt.co.uk/andrea-ferrari/profil/spieler/25081
Atalanta BC,Alberto Filippini,18,Italy,Attacking Midfield,AM,-,Atalanta Primavera,Italy,-,In,2005,s,serie-b,https://www.transfermarkt.co.uk/alberto-filippini/profil/spieler/85009
Atalanta BC,Christian Tiboni,17,Italy,Centre-Forward,CF,-,Atalanta Primavera,Italy,-,In,2005,s,serie-b,https://www.transfermarkt.co.uk/christian-tiboni/profil/spieler/44376
Atalanta BC,Luca Saudati,26,Italy,Centre-Forward,CF,£540Th.,FC Empoli,Italy,"End of loanJun 30, 2005",In,2005,s,serie-b,https://www.transfermarkt.co.uk/luca-saudati/profil/spieler/6029
Atalanta BC,Gianni Comandini,28,Italy,Centre-Forward,CF,£270Th.,Ternana Calcio,Italy,"End of loanJun 30, 2005",In,2005,s,serie-b,https://www.transfermarkt.co.uk/gianni-comandini/profil/spieler/21683
Atalanta BC,Natale Gonnella,29,Italy,Centre-Back,CB,£270Th.,AC Arezzo,Italy,"End of loanJun 30, 2005",In,2005,s,serie-b,https://www.transfermarkt.co.uk/natale-gonnella/profil/spieler/19441
Atalanta BC,Michele Canini,20,Italy,Centre-Back,CB,£225Th.,US Sambenedettese,Italy,"End of loanJun 30, 2005",In,2005,s,serie-b,https://www.transfermarkt.co.uk/michele-canini/profil/spieler/19438
US Catanzaro,Stefano De Angelis,31,Italy,Left-Back,LB,£90Th.,Genoa CFC,Italy,free transfer,In,2005,s,serie-b,https://www.transfermarkt.co.uk/stefano-de-angelis/profil/spieler/21970
US Catanzaro,Valerio Di Cesare,22,Italy,Centre-Back,CB,£90Th.,Chelsea FC,England,free transfer,In,2005,s,serie-b,https://www.transfermarkt.co.uk/valerio-di-cesare/profil/spieler/3159
US Catanzaro,Alessandro Pellicori,23,Italy,Centre-Forward,CF,-,US Grosseto FC,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/alessandro-pellicori/profil/spieler/39682
US Catanzaro,Simone Rizzato,23,Italy,Left-Back,LB,£45Th.,Torino FC,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/simone-rizzato/profil/spieler/21890
US Catanzaro,Nelinho,22,Paraguay,midfield,midfield,-,,Unknown,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/nelinho/profil/spieler/267806
US Catanzaro,Ruben Mancuso,18,Italy,Central Midfield,CM,-,Sapri Calcio 1928,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/ruben-mancuso/profil/spieler/267803
US Catanzaro,Giuseppe Ticli,26,Italy,Left Midfield,LM,-,AC Milan,Italy,loan transfer,In,2005,s,serie-b,https://www.transfermarkt.co.uk/giuseppe-ticli/profil/spieler/268583
US Catanzaro,Danilo Zini,27,Italy,Centre-Back,CB,-,US Pistoiese 1921,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/danilo-zini/profil/spieler/84575
US Catanzaro,Giuseppe Russo,22,Italy,Central Midfield,CM,£180Th.,Rimini FC,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/giuseppe-russo/profil/spieler/30657
US Catanzaro,Carmelo Imbriani,29,Italy,midfield,midfield,-,Benevento Calcio,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/carmelo-imbriani/profil/spieler/85271
US Catanzaro,Tonino Sorrentino,20,Italy,Centre-Forward,CF,£360Th.,Parma FC,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/tonino-sorrentino/profil/spieler/16904
US Catanzaro,Giampaolo Calzi,19,Italy,Defensive Midfield,DM,-,Montevarchi Calcio Aquila 1902,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/giampaolo-calzi/profil/spieler/57784
US Catanzaro,Emanuele Belardi,27,Italy,Goalkeeper,GK,£450Th.,Reggina Calcio,Italy,loan transfer,In,2005,s,serie-b,https://www.transfermarkt.co.uk/emanuele-belardi/profil/spieler/6060
US Catanzaro,Fabio Di Sole,31,Italy,Centre-Back,CB,-,US Pistoiese 1921,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/fabio-di-sole/profil/spieler/39677
US Catanzaro,Luca Ceccarelli,22,Italy,Centre-Back,CB,-,FC Internazionale,Italy,loan transfer,In,2005,s,serie-b,https://www.transfermarkt.co.uk/luca-ceccarelli/profil/spieler/39675
US Catanzaro,Cristian Adami,28,Italy,Right-Back,RB,£63Th.,Vicenza Calcio,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/cristian-adami/profil/spieler/21875
US Catanzaro,Luca Anania,25,Italy,Goalkeeper,GK,£90Th.,US Lecce,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/luca-anania/profil/spieler/28007
US Catanzaro,Riccardo Gissi,25,Italy,Defensive Midfield,DM,£90Th.,Treviso FBC 1993,Italy,loan transfer,In,2005,s,serie-b,https://www.transfermarkt.co.uk/riccardo-gissi/profil/spieler/28867
US Catanzaro,Andrea Sussi,31,Italy,Left-Back,LB,£270Th.,Bologna FC 1909,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/andrea-sussi/profil/spieler/12565
US Catanzaro,Carlo Nervo,33,Italy,Right Midfield,RM,£180Th.,Bologna FC 1909,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/carlo-nervo/profil/spieler/5997
US Catanzaro,Domenico De Simone,30,Italy,Defensive Midfield,DM,£180Th.,Hellas Verona,Italy,"End of loanJun 30, 2005",In,2005,s,serie-b,https://www.transfermarkt.co.uk/domenico-de-simone/profil/spieler/24321
Torino FC,Elvis Abbruscato,25,Italy,Centre-Forward,CF,£630Th.,AC Arezzo,Italy,£3.24m,In,2005,s,serie-b,https://www.transfermarkt.co.uk/elvis-abbruscato/profil/spieler/23163
Torino FC,Alessandro Rosina,21,Italy,Right Winger,RW,£540Th.,Parma FC,Italy,£1.13m,In,2005,s,serie-b,https://www.transfermarkt.co.uk/alessandro-rosina/profil/spieler/16902
Torino FC,Vedin Music,32,Bosnia-Herzegovina,Left-Back,LB,£45Th.,Modena FC,Italy,£900Th.,In,2005,s,serie-b,https://www.transfermarkt.co.uk/vedin-music/profil/spieler/17148
Torino FC,Roberto Muzzi,33,Italy,Centre-Forward,CF,£900Th.,SS Lazio,Italy,free transfer,In,2005,s,serie-b,https://www.transfermarkt.co.uk/roberto-muzzi/profil/spieler/5900
Torino FC,Massimo Taibi,35,Italy,Goalkeeper,GK,£630Th.,Atalanta BC,Italy,free transfer,In,2005,s,serie-b,https://www.transfermarkt.co.uk/massimo-taibi/profil/spieler/3527
Torino FC,Martin Lejsal,22,Czech Republic,Goalkeeper,GK,£90Th.,SSC Venezia,Italy,free transfer,In,2005,s,serie-b,https://www.transfermarkt.co.uk/martin-lejsal/profil/spieler/6059
Torino FC,Mark Edusei,28,Ghana,Defensive Midfield,DM,£450Th.,Calcio Catania,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/mark-edusei/profil/spieler/21788
